tweet,label
"['kang', 'anies', 'asmara', 'idha', 'mediacenter', 'id']",pro
['anaklolina'],pro
"['mari', 'demokrasi']",pro
['setuju'],pro
"['persib', 'lawan', 'arema', 'aja', 'pemain', 'persib', 'diangkut', 'pake', 'baracuda', 'jalan', 'kaki', 'mah', 'udah', 'benjolx', 'tuh', 'kepala', 'pemain', 'kena', 'lemparan', 'batu', 'mainnya', 'tuh', 'kadrun']",kontra
['watun'],pro
"['jokowi', 'presiden', 'indonesia']",pro
"['lawan', 'begundal', 'kadrun', 'hti']",pro
"['manusia', 'manusia', 'munafik', 'kesempatan', 'aksi', 'nya']",pro
"['jokowi', 'presiden', 'indonesia']",pro
"['jokowi', 'presiden', 'indonesia']",pro
"['penghianat', 'bangsa', 'kesempatan', 'kesempitan', 'aksi', 'nya', 'orang', 'orang', 'munafik']",kontra
"['bismillah', 'barisan']",pro
"['lek', 'ngomong', 'kowe', 'kate', 'opo']",pro
"['yookk', 'dukung']",pro
"['anaklolina', 'hehehe', 'mantap']",pro
['anaklolina'],pro
"['kayaknya', 'mmg', 'pakde', 'jokowi', 'periodeni', 'gak', 'ya', 'klau', 'yg', 'demo', 'turunkan', 'jokowisy', 'jokowi', 'periode']",pro
"['anaklolina', 'gk', 'pilpres', 'diundur', 'ajakadrun', 'sekarat']",pro
"['anaklolina', 'yeaaah']",pro
['setuju'],pro
['anaklolina'],kontra
"['tanjung', 'tenang']",pro
"['pemberian', 'ijin', 'dijadikan', 'panggung', 'ormas', 'terlarang']",kontra
['anaklolina'],kontra
"['alhamdulillah', 'lancar']",pro
"['demo', 'unfaedah']",kontra
"['ri', 'waras']",kontra
['min'],kontra
['elang'],kontra
"['anies', 'pensiun', 'sopir', 'kopaja', 'aja', 'biar', 'tau', 'cari', 'duit', 'jakarta', 'susah', 'berdarahdarah', 'ente', 'hamburxkan', 'duit', 'apbd', 'ga', 'ente', 'bagixkan', 'hibah', 'ormasx', 'sbg', 'anjing', 'herdermu', 'ciaaaan', 'dehloo']",pro
"['didu', 'druun']",kontra
"['lgi', 'pengajian', 'ato', 'demo']",pro
"['aduh', 'sdh', 'bikin', 'kadrun', 'stroke', 'klo', 'smp', 'periode', 'bikin', 'mati', 'berdiri', 'kacian']",pro
['anaklolina'],kontra
"['anaklolina', 'setoedjoe']",pro
['anaklolina'],kontra
"['anaklolina', 'dukung']",pro
"['roemah', 'hahahha']",pro
"['ribuan', 'jutaannnn', 'pake', 'takbir', 'gak']",pro
"['lambungkan', 'lagiah', 'ganggu', 'candain', 'kadrun', 'yuk', 'biar', 'stresss', 'drunwoiidrun', 'gambar', 'pemanis', 'drun']",pro
['gaungkan'],pro
"['anaklolina', 'ri', 'ri', 'perjuangan']",pro
"['anaklolina', 'priyo', 'bebas', 'turunkan', 'presiden', 'berhak']",pro
"['biar', 'odgj']",pro
"['geni', 'klo', 'lihat', 'dengar', 'treakan', 'kadrun', 'langsung', 'kejang', 'semoga', 'tdk', 'stroke', 'msh', 'utk', 'merevisiamandemen', 'uud']",pro
"['jujurly', 'saiya', 'setuju']",pro
"['logika', 'anaklolina', 'akek', 'ri', 'perjuangan', 'pkb', 'pan', 'lupa', 'naikan', 'tagar', 'masak', 'kadrun', 'aja', 'yg', 'treak', 'relawan', 'jokowi', 'jg', 'dgn', 'gencar', 'menaikan', 'tagar', 'tsb', 'biar', 'berimbang']",pro
"['demo', 'bbm', 'turunkan', 'jokowi', 'demo', 'sah', 'sah', 'rakyat']",pro
['anaklolina'],kontra
"['loe', 'jual', 'gw', 'beli', 'drun']",pro
