Nomer,textDisplay,label
0,"['mantap', 'indonesia', 'maju']",pro
1,"['mengitari', 'koruptor', 'gk', 'ya']",kontra
2,"['tau', 'rakyat', 'ni', 'kayaknya', 'ketawa', 'aja']",pro
3,"['pabrik', 'swallow', 'menangis', 'br', 'ga', 'yg', 'pake', 'swallow', 'karna', 'pantau']",kontra
4,"['awas', 'awasijalan', 'gang', 'ajabiar', 'uangmu', 'km', 'belikan', 'berasbuat', 'keluargamu']",kontra
5,"['bangga', 'bentar', 'kualat']",kontra
6,"['adil', 'gak', 'ngasih', 'helem', 'negara', 'bertahan', 'hidup', 'campurtangan', 'pemerintah', 'trus', 'palakin', 'bpjs', 'otomatis', 'desa', 'gitu', 'gak']",kontra
7,"['ujungnya', 'sih', 'udah', 'terbaca', 'denda', 'kasian', 'rakyat']",kontra
8,"['musti', 'dibarengi', 'kinerja', 'kepolisian', 'donk', 'biar', 'adil', 'motor', 'pegawe', 'hilang', 'kemaren', 'sby', 'malingnya', 'masuk', 'rumah', 'jendela', 'membobol', 'pintu', 'pagar', 'kamera', 'dimana', 'polisi', 'cepat', 'mengungkap', 'kinerja', 'kepolisian', 'yg', 'profesional', 'tunggu', 'kabarnya']",kontra
9,"['aturan', 'rakyat', 'denda', 'denda', 'ribet', 'peraturan', 'pandemi', 'cctv', 'dipasang', 'jalan', 'pemalakannya', 'supir', 'dipalak', 'dijalan', 'malak', 'rakyat', 'keamanan', 'diutamakan', 'pejabat', 'peraturan', 'tilang', 'kerja', 'gak', 'serius', 'tilang', 'nglanggar', 'tilang']",kontra
10,"['stiap', 'anggota', 'dpr', 'ruangannya', 'pasangin', 'cctv', 'rumahnya', 'kl', 'bs', 'tanem', 'palanya', 'wkwk']",kontra
11,"['kalo', 'platnya', 'pakein', 'case', 'gelap', 'gmn', 'oy', 'wkwk', 'ga', 'jg', 'ilang', 'tuh', 'etle']",kontra
12,"['kalo', 'plat', 'nopol', 'mati', 'gimana']",kontra
13,"['semestinya', 'disetiap', 'yg', 'kamera', 'tilang', 'lampu', 'merah', 'angka', 'detik', 'spy', 'terjebak', 'berhenti', 'dilampu', 'merah']",kontra
14,"['sugiarti', 'tilang', 'elektronik', 'adil', 'terjebak', 'lampu', 'merah', 'yg', 'timernya']",kontra
15,"['bg', 'medan', 'tb', 'timer', 'utk', 'trafic', 'light', 'ny', 'ud', 'lg', 'kesengajaan', 'dr', 'nth', 'biar', 'pengguna', 'jalan', 'terjebak']",kontra
16,"['raqib', 'atid', 'quotbaru', 'diaquot']",kontra
17,"['coba', 'koruptor', 'kasih', 'cctvgk', 'bkl', 'brani']",kontra
18,"['berlaku', 'kota', 'kah']",kontra
19,"['cctv', 'dimana', 'yg', 'bawak', 'mobil', 'motor', 'cemas']",kontra
20,"['kalo', 'biaya', 'nama', 'kendaraan', 'bekas', 'murahin', 'paksupaya', 'tilang', 'elektronik', 'akurat', 'pemilik', 'kendaraan', 'yg', 'punyasecara', 'skr', 'org', 'males', 'nama', 'karna', 'biaya', 'nama', 'yg', 'mahal']",kontra
21,"['plenjara', 'koruptor', 'blm', 'yaaahaha']",kontra
22,"['diperes', 'peres', 'denda', 'dinaikin', 'diturunin']",kontra
23,"['negara', 'kebingungan', 'cari', 'duit']",kontra
24,"['kemajuan', 'top']",pro
25,"['cctv', 'ga', 'sudut', 'lampu', 'merah', 'aja']",kontra
26,"['kalo', 'yg', 'melanggar', 'plat', 'merah', 'tibaquot', 'mati', 'gak', 'tuh', 'cctv', 'nya']",kontra
27,['bagus'],pro
