tweet,label
@abon_kang @sobat_anies @Mdy_Asmara1701 @marlina_idha @Naollivia @choymarkochoy @Relawananies @GerakAnies @SA_MediaCenter @anies_id #Jokowi3Periode  #Jokowi3Periode #Jokowi3Periode,pro
@PKSejahtera #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode,pro
@YRadianto #Jokowi3Periode,pro
@ex_AnakLolina #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode  🇲🇨🇲🇨  https://t.co/Lr2wq0dmGp,pro
@Venom1982_ #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode,kontra
Mari kita semua menginginkan secara demokrasi #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode 💪🇮🇩✊,pro
@FPKSDPRRI #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode,netral
@z4r4n #Jokowi3Periode,netral
@the3brothers2 #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode,netral
@AntonStefanus_ setuju  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode,pro
@Paltiwest Waktu Persib lawan Arema aja para pemain Persib diangkut  pake Baracuda. Kalau jalan kaki mah udah pada benjol2x tuh kepala pemain kena lemparan batu. Mainnya kurang jauh tuh kadrun. #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode  https://t.co/izYGBGfDxI,kontra
@nauralathi #Jokowi3Periode  #Jokowi3Periode,pro
@carolina_watun @Amir21308294 #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode,pro
@Prasety72595950 @Amir21308294 #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode,netral
@archiy8 @Amir21308294 #Jokowi3Periode  #Jokowi3Periode,netral
@Amir21308294 #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode,netral
Jokowi Presiden indonesia.  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode,pro
@Rizmaya__ Hanya 1 kata lawan para begundal2 kadrun HTI ...#Jokowi3Periode,kontra
@DoankWarto #Jokowi3Periode,netral
Mereka para manusia manusia munafik selalu menggunakan kesempatan untuk melakukan aksi nya.  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode,kontra
Jokowi Presiden indonesia  #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode,pro
Jokowi Presiden indonesia👍  #Jokowi3Periode  #Jokowi3Periode,pro
Para penghianat Bangsa mendapat kan kesempatan di dalam kesempitan untuk melakukan aksi nya mereka adalah orang orang munafik. #Jokowi3Periode 💪,kontra
Bismillah... Saya ikut dalam barisan #Jokowi3Periode,pro
Lek aku ngomong #Jokowi3Periode kowe kate opo !,pro
@the3brothers2 Yookk dukung #Jokowi3Periode,pro
@ex_AnakLolina Hehehe...#Jokowi3Periode mantap👍,pro
@SantorinisSun #Jokowi3periode,netral
#Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode
@ex_AnakLolina #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode,netral
@SantorinisSun #Jokowi3Periode,netral
#Jokowi3Periode
@ex_AnakLolina Gk usah #jokowi3periode ..... pilpres diundur 2029 aja......kadrun pasti sekarat....,pro
@ex_AnakLolina #jokowi3periode #Jokowi3Periode  #Jokowi3Periode   Yeaaah💪✊,pro
@YRadianto Setuju  #Jokowi3Periode,pro
@ex_AnakLolina #Jokowi3periode!! #Jokowi3periode #Jokowi3periode #Jokowi3periode,pro
@inandseta #jokowi3periode,pro
"@caul_tanjung Tenang, #Jokowi3Periode",pro
pemberian ijin dijadikan panggung ormas terlarang  #Jokowi3Periode,netral
@wiryadiharja @ex_AnakLolina #Jokowi3Periode  #Jokowi3Periode #Jokowi3Periode,pro
alhamdulillah lancar #JakartaBuangHajat #Jokowi3Periode,pro
demo unfaedah #Jokowi3Periode,netral
#Jokowi3Periode
@geloraco #jokowi3periode,pro
@zakyhiromasa22 @FPKSDPRRI @PKSejahtera @DPR_RI @abu_waras @HelmiFelis_ @geloraco @tvOneNews @TVMuhammadiyah #jokowi3periode,netral
@R_min80 #jokowi3periode,netral
@Celebes26 #jokowi3periode,netral
@jagalkadrun1312 #jokowi3periode,netral
@siregar_elang #jokowi3periode,netral
@DoankWarto #jokowi3periode,netral
"Pak Anies : Setelah pensiun mau apa ?. . . Jadi sopir KOPAJA aja Pak, biar tau cari duit di Jakarta itu susah dan berdarah-darah. Ente malah hambur2xkan duit APBD ga jelas malah ente bagi2xkan (hibah) pada ormas2x sbg anjing herdermu . . Ciaaaan deh...loo  🤣🤣🤣 #Jokowi3Periode  https://t.co/bULAChRNlI",kontra
@msaid_didu #Jokowi3Periode Druun,pro
@Amir21308294 Ini lgi ada pengajian ato lagi demo 🙏 😄 #Jokowi3Periode 🇮🇩,kontra
@Syarman59 #Jokowi3Periode   #Jokowi3Periode,netral
"@Amir21308294 Aduh..... #Jokowi3Periode saja sdh bikin para kadrun stroke. Apa lagi klo smp 5 periode, bisa bikin mati berdiri. Kacian....! . . . @PKSejahtera  @MardaniAliSera @rockygerungpart  @Andiarief__",kontra
@Amir21308294 #Jokowi3Periode,netral
@ex_AnakLolina #Jokowi3Periode  #Jokowi3Periode,netral
@ex_AnakLolina Setoedjoe #Jokowi3Periode,netral
@ex_AnakLolina #Jokowi3periode  https://t.co/7UMIiZprFu,netral
@setiawanh46 #Jokowi3Periode,netral
@ex_AnakLolina Dukung #Jokowi3Periode,netral
@sehat_roemah Hahahha.. Tetap #Jokowi3Periode,netral
@OposisiCerdas Ribuan?? Jutaannnn..  Pake takbir gak???  #KadrunGoblok #Jokowi3Periode,pro
#Jokowi3Periode #Jokowi3Periode #Jokowi3Periode #Jokowi3Periode #Jokowi3Periode #Jokowi3Periode #Jokowi3Periode  #Jokowi3Periode  Lambungkan lagi...ah Ganggu dan candain kadrun yuk, biar tambah stresss. DRUN...woii....DRUN..!!!  Gambar hanya pemanis DRUN 🤣🤣🤣🤣  https://t.co/xMjRAVklbM
Oleh karenanya kita gaungkan #Jokowi3Periode,pro
#Jokowi3Periode
@CasanovaX8X @ex_AnakLolina @jokowi @DPR_RI @MPRnews @mprgoid @puanmaharani_ri @PDI_Perjuangan #Jokowi3Periode,netral
"@johnsinagabonor @ex_AnakLolina @Frans_Priyo mereka bebas minta turunkan presiden, saya berhak juga minta #Jokowi3Periode",pro
@the3brothers2 Biar mereka pada ODGJ #Jokowi3Periode  #Jokowi3Periode,netral
@SantorinisSun @Singkir_Geni Klo lihat dan dengar treakan #Jokowi3Periode semua kadrun langsung kejang²...🤣🤣 Semoga tdk stroke..  Msh ada waktu utk merevisi/amandemen UUD.  @PKSejahtera  @MardaniAliSera,kontra
#JokowiMundurAtauRevolusi #Jokowi3Periode
@wiryadiharja #Jokowi3Periode,pro
Jujurly.. Saiya lebih setuju #Jokowi3Periode #JokowiPrabowo,pro
"@tentang_logika @ex_AnakLolina @Galih_Akek2 @mprgoid @DPR_RI @PDI_Perjuangan @Gerindra @DPP_PKB @NasDem @PartaiGolkar @Official_PAN Jangankan lupa naikan tagar #Jokowi3Periode   Masak kadrun aja yg bisa treak, Relawan Jokowi jg harus dgn gencar menaikan tagar tsb biar berimbang.  #Jokowi3Periode",pro
"Kalian Demo BBM, Turunkan Jokowi, Maka Kami Akan Demo #Jokowi3Periode   Sah sah Saja Toh, Sama sama Rakyat",pro
#Jokowi3Periode
@ex_AnakLolina #Jokowi3Periode  #Jokowi3Periode  #Jokowi3Periode,netral
@ArRayah43832329 @PrasetyoEdi_ @aniesbaswedan #Jokowi3Periode. Loe jual gw beli Drun.,pro
